date,year,area,state,abbr,lon,lat,risk_events,severity
2015-01-01,2015,TAS Region 5,Tasmania,TAS,146.04,-42.19,37,4.1
2015-01-01,2015,NT Region 2,Northern Territory,NT,129.68,-25.0,5,4.7
2015-01-01,2015,WA Region 2,Western Australia,WA,119.41,-20.08,224,4.2
2015-01-01,2015,WA Region 8,Western Australia,WA,117.35,-31.42,154,4.7
2015-01-01,2015,ACT Region 3,Australian Capital Territory,ACT,148.86,-35.71,30,3.9
2015-01-01,2015,QLD Region 11,Queensland,QLD,146.38,-15.86,188,4.2
2015-01-01,2015,WA Region 7,Western Australia,WA,118.77,-16.45,250,4.1
2015-01-01,2015,NSW Region 3,New South Wales,NSW,143.67,-30.11,86,4.6
2015-01-01,2015,TAS Region 1,Tasmania,TAS,144.98,-41.18,22,4.5
2015-01-01,2015,SA Region 1,South Australia,SA,129.64,-34.41,100,3.9
2015-04-01,2015,NSW Region 14,New South Wales,NSW,152.12,-36.68,88,3.7
2015-04-01,2015,NSW Region 7,New South Wales,NSW,146.09,-29.31,51,4.6
2015-04-01,2015,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,45,4.1
2015-04-01,2015,WA Region 2,Western Australia,WA,119.41,-20.08,351,4.6
2015-04-01,2015,NSW Region 11,New South Wales,NSW,149.58,-36.68,59,3.8
2015-04-01,2015,SA Region 5,South Australia,SA,138.1,-35.83,98,4.5
2015-04-01,2015,QLD Region 12,Queensland,QLD,148.09,-14.98,299,4.3
2015-04-01,2015,TAS Region 5,Tasmania,TAS,146.04,-42.19,42,4.5
2015-04-01,2015,VIC Region 9,Victoria,VIC,145.34,-36.4,110,3.8
2015-04-01,2015,SA Region 7,South Australia,SA,134.49,-28.35,33,4.5
2015-04-01,2015,TAS Region 3,Tasmania,TAS,147.69,-41.3,20,4.2
2015-04-01,2015,WA Region 3,Western Australia,WA,120.85,-22.44,82,4.8
2015-04-01,2015,QLD Region 7,Queensland,QLD,139.37,-19.65,145,4.1
2015-04-01,2015,VIC Region 7,Victoria,VIC,146.57,-37.29,107,4.3
2015-04-01,2015,SA Region 3,South Australia,SA,134.63,-30.95,113,3.9
2015-04-01,2015,QLD Region 8,Queensland,QLD,152.36,-22.4,21,4.6
2015-04-01,2015,QLD Region 10,Queensland,QLD,143.89,-17.34,103,4.1
2015-04-01,2015,NT Region 3,Northern Territory,NT,130.85,-14.99,25,4.7
2015-04-01,2015,NSW Region 2,New South Wales,NSW,145.87,-31.23,166,4.0
2015-04-01,2015,QLD Region 11,Queensland,QLD,146.38,-15.86,175,4.4
2015-07-01,2015,NSW Region 9,New South Wales,NSW,151.53,-34.25,294,4.1
2015-07-01,2015,QLD Region 7,Queensland,QLD,139.37,-19.65,84,4.0
2015-07-01,2015,VIC Region 11,Victoria,VIC,142.81,-37.16,179,4.0
2015-07-01,2015,QLD Region 10,Queensland,QLD,143.89,-17.34,106,4.6
2015-07-01,2015,WA Region 1,Western Australia,WA,120.57,-28.81,99,4.7
2015-07-01,2015,TAS Region 4,Tasmania,TAS,147.2,-41.53,68,3.9
2015-07-01,2015,QLD Region 11,Queensland,QLD,146.38,-15.86,140,4.4
2015-07-01,2015,WA Region 3,Western Australia,WA,120.85,-22.44,56,4.3
2015-07-01,2015,VIC Region 12,Victoria,VIC,143.6,-38.57,475,3.8
2015-07-01,2015,NT Region 5,Northern Territory,NT,132.33,-17.55,10,4.6
2015-07-01,2015,VIC Region 4,Victoria,VIC,144.48,-36.78,64,4.4
2015-07-01,2015,NSW Region 10,New South Wales,NSW,141.44,-36.71,266,4.5
2015-07-01,2015,QLD Region 4,Queensland,QLD,150.82,-23.9,230,4.4
2015-07-01,2015,TAS Region 2,Tasmania,TAS,147.61,-43.05,46,4.1
2015-07-01,2015,NSW Region 12,New South Wales,NSW,142.48,-36.81,168,3.9
2015-07-01,2015,VIC Region 10,Victoria,VIC,141.57,-38.55,23,4.5
2015-07-01,2015,QLD Region 3,Queensland,QLD,139.76,-22.66,200,5.0
2015-07-01,2015,NSW Region 5,New South Wales,NSW,148.2,-35.82,51,3.9
2015-07-01,2015,SA Region 5,South Australia,SA,138.1,-35.83,152,4.0
2015-07-01,2015,VIC Region 6,Victoria,VIC,148.91,-36.24,218,4.4
2015-10-01,2015,VIC Region 8,Victoria,VIC,146.7,-37.99,99,4.5
2015-10-01,2015,NSW Region 5,New South Wales,NSW,148.2,-35.82,74,4.4
2015-10-01,2015,SA Region 2,South Australia,SA,130.96,-29.16,63,4.7
2015-10-01,2015,NSW Region 3,New South Wales,NSW,143.67,-30.11,65,3.7
2015-10-01,2015,VIC Region 11,Victoria,VIC,142.81,-37.16,120,3.8
2015-10-01,2015,TAS Region 2,Tasmania,TAS,147.61,-43.05,48,4.6
2015-10-01,2015,WA Region 5,Western Australia,WA,113.99,-18.42,119,4.6
2015-10-01,2015,NSW Region 6,New South Wales,NSW,144.12,-32.31,58,4.0
2015-10-01,2015,QLD Region 5,Queensland,QLD,147.0,-25.35,63,4.7
2015-10-01,2015,QLD Region 1,Queensland,QLD,141.26,-15.33,115,4.5
2015-10-01,2015,NT Region 4,Northern Territory,NT,129.77,-19.74,9,4.0
2015-10-01,2015,QLD Region 9,Queensland,QLD,149.01,-22.61,113,4.7
2015-10-01,2015,VIC Region 3,Victoria,VIC,144.14,-36.65,55,4.0
2015-10-01,2015,NSW Region 1,New South Wales,NSW,141.79,-34.17,128,3.9
2015-10-01,2015,SA Region 6,South Australia,SA,134.79,-27.58,99,4.3
2015-10-01,2015,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,48,3.6
2015-10-01,2015,NSW Region 8,New South Wales,NSW,142.53,-30.93,105,3.9
2015-10-01,2015,WA Region 8,Western Australia,WA,117.35,-31.42,153,3.9
2015-10-01,2015,NSW Region 12,New South Wales,NSW,142.48,-36.81,142,4.2
2015-10-01,2015,WA Region 4,Western Australia,WA,114.33,-27.32,168,4.6
2016-01-01,2016,VIC Region 5,Victoria,VIC,141.4,-38.69,90,3.7
2016-01-01,2016,NT Region 5,Northern Territory,NT,132.33,-17.55,16,4.2
2016-01-01,2016,TAS Region 3,Tasmania,TAS,147.69,-41.3,36,5.0
2016-01-01,2016,WA Region 4,Western Australia,WA,114.33,-27.32,136,4.2
2016-01-01,2016,QLD Region 10,Queensland,QLD,143.89,-17.34,139,4.9
2016-01-01,2016,QLD Region 6,Queensland,QLD,142.73,-20.46,292,4.3
2016-01-01,2016,WA Region 3,Western Australia,WA,120.85,-22.44,57,4.2
2016-01-01,2016,SA Region 4,South Australia,SA,131.02,-30.3,113,4.1
2016-01-01,2016,TAS Region 4,Tasmania,TAS,147.2,-41.53,58,4.6
2016-01-01,2016,NSW Region 8,New South Wales,NSW,142.53,-30.93,123,4.3
2016-01-01,2016,NSW Region 11,New South Wales,NSW,149.58,-36.68,83,4.6
2016-01-01,2016,VIC Region 10,Victoria,VIC,141.57,-38.55,35,3.6
2016-01-01,2016,VIC Region 9,Victoria,VIC,145.34,-36.4,88,4.4
2016-01-01,2016,QLD Region 3,Queensland,QLD,139.76,-22.66,193,4.3
2016-01-01,2016,SA Region 6,South Australia,SA,134.79,-27.58,85,4.6
2016-01-01,2016,QLD Region 12,Queensland,QLD,148.09,-14.98,435,4.0
2016-01-01,2016,NSW Region 2,New South Wales,NSW,145.87,-31.23,222,4.7
2016-01-01,2016,TAS Region 2,Tasmania,TAS,147.61,-43.05,49,4.4
2016-01-01,2016,NT Region 1,Northern Territory,NT,130.31,-21.64,8,4.6
2016-01-01,2016,VIC Region 7,Victoria,VIC,146.57,-37.29,86,4.1
2016-04-01,2016,QLD Region 1,Queensland,QLD,141.26,-15.33,87,4.4
2016-04-01,2016,SA Region 4,South Australia,SA,131.02,-30.3,94,3.9
2016-04-01,2016,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,40,3.9
2016-04-01,2016,VIC Region 11,Victoria,VIC,142.81,-37.16,126,4.3
2016-04-01,2016,NT Region 5,Northern Territory,NT,132.33,-17.55,14,4.6
2016-04-01,2016,WA Region 3,Western Australia,WA,120.85,-22.44,60,4.7
2016-04-01,2016,QLD Region 8,Queensland,QLD,152.36,-22.4,29,4.0
2016-04-01,2016,WA Region 4,Western Australia,WA,114.33,-27.32,200,3.9
2016-04-01,2016,SA Region 1,South Australia,SA,129.64,-34.41,101,4.4
2016-04-01,2016,QLD Region 12,Queensland,QLD,148.09,-14.98,520,4.5
2016-04-01,2016,WA Region 6,Western Australia,WA,127.24,-32.15,50,3.9
2016-04-01,2016,VIC Region 4,Victoria,VIC,144.48,-36.78,92,4.1
2016-04-01,2016,TAS Region 5,Tasmania,TAS,146.04,-42.19,39,4.8
2016-04-01,2016,NSW Region 13,New South Wales,NSW,145.92,-35.82,173,4.6
2016-04-01,2016,VIC Region 12,Victoria,VIC,143.6,-38.57,402,3.6
2016-04-01,2016,VIC Region 8,Victoria,VIC,146.7,-37.99,115,3.7
2016-04-01,2016,QLD Region 4,Queensland,QLD,150.82,-23.9,262,4.8
2016-04-01,2016,TAS Region 1,Tasmania,TAS,144.98,-41.18,11,4.5
2016-04-01,2016,VIC Region 6,Victoria,VIC,148.91,-36.24,185,3.8
2016-04-01,2016,NT Region 3,Northern Territory,NT,130.85,-14.99,32,4.4
2016-07-01,2016,QLD Region 6,Queensland,QLD,142.73,-20.46,276,4.0
2016-07-01,2016,WA Region 4,Western Australia,WA,114.33,-27.32,145,3.8
2016-07-01,2016,NSW Region 9,New South Wales,NSW,151.53,-34.25,284,3.9
2016-07-01,2016,VIC Region 5,Victoria,VIC,141.4,-38.69,102,4.2
2016-07-01,2016,SA Region 5,South Australia,SA,138.1,-35.83,163,4.2
2016-07-01,2016,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,49,3.8
2016-07-01,2016,NSW Region 3,New South Wales,NSW,143.67,-30.11,91,4.4
2016-07-01,2016,QLD Region 4,Queensland,QLD,150.82,-23.9,177,4.5
2016-07-01,2016,SA Region 3,South Australia,SA,134.63,-30.95,156,4.1
2016-07-01,2016,VIC Region 6,Victoria,VIC,148.91,-36.24,166,3.8
2016-07-01,2016,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,28,3.6
2016-07-01,2016,NSW Region 14,New South Wales,NSW,152.12,-36.68,128,3.7
2016-07-01,2016,QLD Region 8,Queensland,QLD,152.36,-22.4,31,4.0
2016-07-01,2016,QLD Region 5,Queensland,QLD,147.0,-25.35,55,3.9
2016-07-01,2016,VIC Region 3,Victoria,VIC,144.14,-36.65,39,3.7
2016-07-01,2016,NSW Region 5,New South Wales,NSW,148.2,-35.82,48,4.4
2016-07-01,2016,NT Region 4,Northern Territory,NT,129.77,-19.74,8,4.5
2016-07-01,2016,WA Region 3,Western Australia,WA,120.85,-22.44,54,4.2
2016-07-01,2016,VIC Region 4,Victoria,VIC,144.48,-36.78,85,4.3
2016-07-01,2016,VIC Region 11,Victoria,VIC,142.81,-37.16,197,4.0
2016-10-01,2016,WA Region 1,Western Australia,WA,120.57,-28.81,109,4.5
2016-10-01,2016,QLD Region 6,Queensland,QLD,142.73,-20.46,279,4.5
2016-10-01,2016,QLD Region 9,Queensland,QLD,149.01,-22.61,115,4.0
2016-10-01,2016,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,67,3.4
2016-10-01,2016,NSW Region 11,New South Wales,NSW,149.58,-36.68,75,4.4
2016-10-01,2016,NSW Region 4,New South Wales,NSW,143.72,-37.13,139,3.6
2016-10-01,2016,SA Region 4,South Australia,SA,131.02,-30.3,122,4.7
2016-10-01,2016,VIC Region 4,Victoria,VIC,144.48,-36.78,111,4.0
2016-10-01,2016,VIC Region 11,Victoria,VIC,142.81,-37.16,121,4.4
2016-10-01,2016,NT Region 1,Northern Territory,NT,130.31,-21.64,6,4.5
2016-10-01,2016,NSW Region 6,New South Wales,NSW,144.12,-32.31,44,4.5
2016-10-01,2016,WA Region 2,Western Australia,WA,119.41,-20.08,243,4.3
2016-10-01,2016,QLD Region 10,Queensland,QLD,143.89,-17.34,159,4.3
2016-10-01,2016,SA Region 7,South Australia,SA,134.49,-28.35,20,4.9
2016-10-01,2016,ACT Region 3,Australian Capital Territory,ACT,148.86,-35.71,16,3.7
2016-10-01,2016,TAS Region 1,Tasmania,TAS,144.98,-41.18,17,4.8
2016-10-01,2016,NT Region 4,Northern Territory,NT,129.77,-19.74,6,4.0
2016-10-01,2016,WA Region 4,Western Australia,WA,114.33,-27.32,159,4.0
2016-10-01,2016,QLD Region 2,Queensland,QLD,151.03,-11.52,153,4.3
2016-10-01,2016,SA Region 3,South Australia,SA,134.63,-30.95,143,4.2
2017-01-01,2017,VIC Region 11,Victoria,VIC,142.81,-37.16,200,3.9
2017-01-01,2017,QLD Region 7,Queensland,QLD,139.37,-19.65,141,4.2
2017-01-01,2017,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,25,3.5
2017-01-01,2017,VIC Region 1,Victoria,VIC,141.67,-37.19,207,3.9
2017-01-01,2017,QLD Region 6,Queensland,QLD,142.73,-20.46,250,4.5
2017-01-01,2017,VIC Region 2,Victoria,VIC,147.17,-37.78,35,3.7
2017-01-01,2017,SA Region 1,South Australia,SA,129.64,-34.41,114,3.8
2017-01-01,2017,WA Region 2,Western Australia,WA,119.41,-20.08,341,3.9
2017-01-01,2017,WA Region 7,Western Australia,WA,118.77,-16.45,132,4.2
2017-01-01,2017,VIC Region 5,Victoria,VIC,141.4,-38.69,124,4.1
2017-01-01,2017,QLD Region 4,Queensland,QLD,150.82,-23.9,160,4.4
2017-01-01,2017,SA Region 5,South Australia,SA,138.1,-35.83,148,3.7
2017-01-01,2017,QLD Region 1,Queensland,QLD,141.26,-15.33,169,4.2
2017-01-01,2017,VIC Region 7,Victoria,VIC,146.57,-37.29,94,4.5
2017-01-01,2017,NSW Region 13,New South Wales,NSW,145.92,-35.82,166,4.2
2017-01-01,2017,NSW Region 12,New South Wales,NSW,142.48,-36.81,118,4.3
2017-01-01,2017,QLD Region 5,Queensland,QLD,147.0,-25.35,44,4.6
2017-01-01,2017,VIC Region 4,Victoria,VIC,144.48,-36.78,67,3.9
2017-01-01,2017,SA Region 3,South Australia,SA,134.63,-30.95,112,4.7
2017-01-01,2017,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,55,4.4
2017-04-01,2017,WA Region 5,Western Australia,WA,113.99,-18.42,120,3.8
2017-04-01,2017,QLD Region 4,Queensland,QLD,150.82,-23.9,212,4.4
2017-04-01,2017,NSW Region 4,New South Wales,NSW,143.72,-37.13,156,3.8
2017-04-01,2017,VIC Region 9,Victoria,VIC,145.34,-36.4,86,4.0
2017-04-01,2017,NSW Region 11,New South Wales,NSW,149.58,-36.68,92,4.5
2017-04-01,2017,TAS Region 3,Tasmania,TAS,147.69,-41.3,36,4.6
2017-04-01,2017,TAS Region 1,Tasmania,TAS,144.98,-41.18,16,3.9
2017-04-01,2017,NSW Region 9,New South Wales,NSW,151.53,-34.25,302,4.1
2017-04-01,2017,NT Region 1,Northern Territory,NT,130.31,-21.64,7,4.8
2017-04-01,2017,QLD Region 2,Queensland,QLD,151.03,-11.52,159,3.9
2017-04-01,2017,WA Region 2,Western Australia,WA,119.41,-20.08,279,4.4
2017-04-01,2017,NT Region 2,Northern Territory,NT,129.68,-25.0,4,4.7
2017-04-01,2017,VIC Region 1,Victoria,VIC,141.67,-37.19,256,4.3
2017-04-01,2017,NSW Region 12,New South Wales,NSW,142.48,-36.81,179,4.3
2017-04-01,2017,WA Region 8,Western Australia,WA,117.35,-31.42,102,4.8
2017-04-01,2017,VIC Region 8,Victoria,VIC,146.7,-37.99,111,3.8
2017-04-01,2017,NT Region 5,Northern Territory,NT,132.33,-17.55,14,4.4
2017-04-01,2017,VIC Region 7,Victoria,VIC,146.57,-37.29,106,3.8
2017-04-01,2017,QLD Region 5,Queensland,QLD,147.0,-25.35,49,4.6
2017-04-01,2017,WA Region 7,Western Australia,WA,118.77,-16.45,165,4.3
2017-07-01,2017,NT Region 1,Northern Territory,NT,130.31,-21.64,7,4.5
2017-07-01,2017,TAS Region 5,Tasmania,TAS,146.04,-42.19,45,4.8
2017-07-01,2017,SA Region 1,South Australia,SA,129.64,-34.41,121,4.4
2017-07-01,2017,SA Region 7,South Australia,SA,134.49,-28.35,32,4.3
2017-07-01,2017,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,27,3.8
2017-07-01,2017,SA Region 5,South Australia,SA,138.1,-35.83,165,4.3
2017-07-01,2017,WA Region 4,Western Australia,WA,114.33,-27.32,134,4.1
2017-07-01,2017,QLD Region 1,Queensland,QLD,141.26,-15.33,99,4.9
2017-07-01,2017,TAS Region 3,Tasmania,TAS,147.69,-41.3,37,4.5
2017-07-01,2017,WA Region 1,Western Australia,WA,120.57,-28.81,132,4.6
2017-07-01,2017,NSW Region 5,New South Wales,NSW,148.2,-35.82,48,4.3
2017-07-01,2017,SA Region 4,South Australia,SA,131.02,-30.3,121,4.1
2017-07-01,2017,WA Region 5,Western Australia,WA,113.99,-18.42,116,4.6
2017-07-01,2017,VIC Region 3,Victoria,VIC,144.14,-36.65,62,4.2
2017-07-01,2017,TAS Region 2,Tasmania,TAS,147.61,-43.05,33,4.0
2017-07-01,2017,ACT Region 3,Australian Capital Territory,ACT,148.86,-35.71,22,3.5
2017-07-01,2017,VIC Region 10,Victoria,VIC,141.57,-38.55,29,3.5
2017-07-01,2017,NT Region 2,Northern Territory,NT,129.68,-25.0,8,4.8
2017-07-01,2017,WA Region 3,Western Australia,WA,120.85,-22.44,95,4.1
2017-07-01,2017,QLD Region 5,Queensland,QLD,147.0,-25.35,52,4.8
2017-10-01,2017,TAS Region 4,Tasmania,TAS,147.2,-41.53,73,4.7
2017-10-01,2017,NSW Region 9,New South Wales,NSW,151.53,-34.25,297,4.0
2017-10-01,2017,NT Region 3,Northern Territory,NT,130.85,-14.99,32,4.2
2017-10-01,2017,NT Region 2,Northern Territory,NT,129.68,-25.0,5,4.1
2017-10-01,2017,TAS Region 5,Tasmania,TAS,146.04,-42.19,32,4.2
2017-10-01,2017,TAS Region 1,Tasmania,TAS,144.98,-41.18,20,4.1
2017-10-01,2017,NSW Region 10,New South Wales,NSW,141.44,-36.71,152,4.6
2017-10-01,2017,NSW Region 8,New South Wales,NSW,142.53,-30.93,163,4.0
2017-10-01,2017,QLD Region 6,Queensland,QLD,142.73,-20.46,294,5.0
2017-10-01,2017,NSW Region 3,New South Wales,NSW,143.67,-30.11,55,4.5
2017-10-01,2017,QLD Region 8,Queensland,QLD,152.36,-22.4,30,4.3
2017-10-01,2017,ACT Region 3,Australian Capital Territory,ACT,148.86,-35.71,28,3.8
2017-10-01,2017,NT Region 5,Northern Territory,NT,132.33,-17.55,17,3.9
2017-10-01,2017,SA Region 6,South Australia,SA,134.79,-27.58,85,4.1
2017-10-01,2017,TAS Region 2,Tasmania,TAS,147.61,-43.05,40,4.1
2017-10-01,2017,VIC Region 1,Victoria,VIC,141.67,-37.19,255,4.4
2017-10-01,2017,NSW Region 13,New South Wales,NSW,145.92,-35.82,177,3.9
2017-10-01,2017,VIC Region 8,Victoria,VIC,146.7,-37.99,165,4.4
2017-10-01,2017,NSW Region 5,New South Wales,NSW,148.2,-35.82,69,4.0
2017-10-01,2017,WA Region 8,Western Australia,WA,117.35,-31.42,132,4.3
2018-01-01,2018,TAS Region 2,Tasmania,TAS,147.61,-43.05,26,4.1
2018-01-01,2018,VIC Region 11,Victoria,VIC,142.81,-37.16,168,4.4
2018-01-01,2018,NSW Region 13,New South Wales,NSW,145.92,-35.82,154,3.8
2018-01-01,2018,NSW Region 10,New South Wales,NSW,141.44,-36.71,196,3.9
2018-01-01,2018,VIC Region 7,Victoria,VIC,146.57,-37.29,102,4.2
2018-01-01,2018,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,29,3.9
2018-01-01,2018,NT Region 4,Northern Territory,NT,129.77,-19.74,7,4.7
2018-01-01,2018,QLD Region 3,Queensland,QLD,139.76,-22.66,160,4.9
2018-01-01,2018,NSW Region 14,New South Wales,NSW,152.12,-36.68,132,4.4
2018-01-01,2018,NT Region 3,Northern Territory,NT,130.85,-14.99,18,4.6
2018-01-01,2018,NSW Region 5,New South Wales,NSW,148.2,-35.82,64,3.8
2018-01-01,2018,VIC Region 3,Victoria,VIC,144.14,-36.65,64,4.5
2018-01-01,2018,NSW Region 3,New South Wales,NSW,143.67,-30.11,73,4.1
2018-01-01,2018,ACT Region 3,Australian Capital Territory,ACT,148.86,-35.71,23,3.6
2018-01-01,2018,TAS Region 5,Tasmania,TAS,146.04,-42.19,32,4.6
2018-01-01,2018,TAS Region 3,Tasmania,TAS,147.69,-41.3,22,4.7
2018-01-01,2018,WA Region 6,Western Australia,WA,127.24,-32.15,47,4.3
2018-01-01,2018,WA Region 4,Western Australia,WA,114.33,-27.32,217,4.0
2018-01-01,2018,QLD Region 2,Queensland,QLD,151.03,-11.52,190,4.7
2018-01-01,2018,NSW Region 4,New South Wales,NSW,143.72,-37.13,101,4.2
2018-04-01,2018,WA Region 4,Western Australia,WA,114.33,-27.32,173,3.9
2018-04-01,2018,WA Region 3,Western Australia,WA,120.85,-22.44,73,4.5
2018-04-01,2018,QLD Region 11,Queensland,QLD,146.38,-15.86,261,4.5
2018-04-01,2018,QLD Region 3,Queensland,QLD,139.76,-22.66,140,4.7
2018-04-01,2018,QLD Region 7,Queensland,QLD,139.37,-19.65,144,4.7
2018-04-01,2018,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,52,3.7
2018-04-01,2018,QLD Region 6,Queensland,QLD,142.73,-20.46,246,4.3
2018-04-01,2018,WA Region 1,Western Australia,WA,120.57,-28.81,76,4.4
2018-04-01,2018,NSW Region 4,New South Wales,NSW,143.72,-37.13,88,4.1
2018-04-01,2018,VIC Region 6,Victoria,VIC,148.91,-36.24,206,4.2
2018-04-01,2018,QLD Region 10,Queensland,QLD,143.89,-17.34,194,4.2
2018-04-01,2018,NSW Region 14,New South Wales,NSW,152.12,-36.68,125,4.5
2018-04-01,2018,SA Region 7,South Australia,SA,134.49,-28.35,22,4.4
2018-04-01,2018,QLD Region 2,Queensland,QLD,151.03,-11.52,202,4.3
2018-04-01,2018,NSW Region 8,New South Wales,NSW,142.53,-30.93,90,4.2
2018-04-01,2018,VIC Region 1,Victoria,VIC,141.67,-37.19,238,3.8
2018-04-01,2018,VIC Region 4,Victoria,VIC,144.48,-36.78,100,3.7
2018-04-01,2018,SA Region 1,South Australia,SA,129.64,-34.41,121,4.7
2018-04-01,2018,NSW Region 13,New South Wales,NSW,145.92,-35.82,117,4.6
2018-04-01,2018,TAS Region 2,Tasmania,TAS,147.61,-43.05,32,4.9
2018-07-01,2018,SA Region 7,South Australia,SA,134.49,-28.35,28,4.6
2018-07-01,2018,WA Region 4,Western Australia,WA,114.33,-27.32,190,4.3
2018-07-01,2018,VIC Region 11,Victoria,VIC,142.81,-37.16,190,4.0
2018-07-01,2018,NT Region 5,Northern Territory,NT,132.33,-17.55,9,4.4
2018-07-01,2018,NSW Region 7,New South Wales,NSW,146.09,-29.31,84,4.5
2018-07-01,2018,ACT Region 3,Australian Capital Territory,ACT,148.86,-35.71,18,4.0
2018-07-01,2018,NT Region 3,Northern Territory,NT,130.85,-14.99,34,5.0
2018-07-01,2018,QLD Region 4,Queensland,QLD,150.82,-23.9,283,4.1
2018-07-01,2018,WA Region 8,Western Australia,WA,117.35,-31.42,160,4.8
2018-07-01,2018,NSW Region 1,New South Wales,NSW,141.79,-34.17,118,4.4
2018-07-01,2018,NSW Region 6,New South Wales,NSW,144.12,-32.31,67,4.3
2018-07-01,2018,QLD Region 1,Queensland,QLD,141.26,-15.33,130,4.7
2018-07-01,2018,QLD Region 2,Queensland,QLD,151.03,-11.52,119,4.8
2018-07-01,2018,VIC Region 2,Victoria,VIC,147.17,-37.78,40,3.6
2018-07-01,2018,QLD Region 9,Queensland,QLD,149.01,-22.61,113,4.2
2018-07-01,2018,QLD Region 8,Queensland,QLD,152.36,-22.4,30,4.4
2018-07-01,2018,SA Region 4,South Australia,SA,131.02,-30.3,69,4.3
2018-07-01,2018,QLD Region 7,Queensland,QLD,139.37,-19.65,123,4.5
2018-07-01,2018,TAS Region 5,Tasmania,TAS,146.04,-42.19,28,4.6
2018-07-01,2018,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,25,3.7
2018-10-01,2018,SA Region 7,South Australia,SA,134.49,-28.35,20,4.5
2018-10-01,2018,QLD Region 12,Queensland,QLD,148.09,-14.98,292,4.0
2018-10-01,2018,QLD Region 6,Queensland,QLD,142.73,-20.46,239,4.8
2018-10-01,2018,SA Region 6,South Australia,SA,134.79,-27.58,54,4.3
2018-10-01,2018,NSW Region 9,New South Wales,NSW,151.53,-34.25,309,4.3
2018-10-01,2018,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,55,4.4
2018-10-01,2018,VIC Region 2,Victoria,VIC,147.17,-37.78,40,4.3
2018-10-01,2018,QLD Region 11,Queensland,QLD,146.38,-15.86,245,3.9
2018-10-01,2018,NSW Region 3,New South Wales,NSW,143.67,-30.11,79,4.4
2018-10-01,2018,QLD Region 3,Queensland,QLD,139.76,-22.66,145,4.8
2018-10-01,2018,QLD Region 2,Queensland,QLD,151.03,-11.52,147,4.4
2018-10-01,2018,VIC Region 7,Victoria,VIC,146.57,-37.29,113,4.3
2018-10-01,2018,QLD Region 4,Queensland,QLD,150.82,-23.9,202,4.2
2018-10-01,2018,NSW Region 1,New South Wales,NSW,141.79,-34.17,118,4.1
2018-10-01,2018,VIC Region 6,Victoria,VIC,148.91,-36.24,226,4.4
2018-10-01,2018,NT Region 1,Northern Territory,NT,130.31,-21.64,7,4.5
2018-10-01,2018,QLD Region 5,Queensland,QLD,147.0,-25.35,45,4.0
2018-10-01,2018,TAS Region 4,Tasmania,TAS,147.2,-41.53,41,4.1
2018-10-01,2018,NSW Region 13,New South Wales,NSW,145.92,-35.82,156,4.4
2018-10-01,2018,WA Region 3,Western Australia,WA,120.85,-22.44,64,4.0
2019-01-01,2019,NSW Region 3,New South Wales,NSW,143.67,-30.11,62,4.3
2019-01-01,2019,TAS Region 3,Tasmania,TAS,147.69,-41.3,31,4.1
2019-01-01,2019,WA Region 8,Western Australia,WA,117.35,-31.42,151,4.4
2019-01-01,2019,SA Region 3,South Australia,SA,134.63,-30.95,160,4.2
2019-01-01,2019,NSW Region 1,New South Wales,NSW,141.79,-34.17,162,3.9
2019-01-01,2019,VIC Region 6,Victoria,VIC,148.91,-36.24,144,3.6
2019-01-01,2019,VIC Region 9,Victoria,VIC,145.34,-36.4,73,4.5
2019-01-01,2019,NSW Region 6,New South Wales,NSW,144.12,-32.31,61,4.6
2019-01-01,2019,SA Region 5,South Australia,SA,138.1,-35.83,117,4.1
2019-01-01,2019,SA Region 2,South Australia,SA,130.96,-29.16,63,4.0
2019-01-01,2019,VIC Region 3,Victoria,VIC,144.14,-36.65,50,4.0
2019-01-01,2019,WA Region 4,Western Australia,WA,114.33,-27.32,134,4.4
2019-01-01,2019,QLD Region 6,Queensland,QLD,142.73,-20.46,198,4.5
2019-01-01,2019,VIC Region 12,Victoria,VIC,143.6,-38.57,323,3.8
2019-01-01,2019,NT Region 4,Northern Territory,NT,129.77,-19.74,8,4.5
2019-01-01,2019,NT Region 2,Northern Territory,NT,129.68,-25.0,7,4.7
2019-01-01,2019,TAS Region 5,Tasmania,TAS,146.04,-42.19,25,4.9
2019-01-01,2019,NT Region 5,Northern Territory,NT,132.33,-17.55,16,4.0
2019-01-01,2019,QLD Region 1,Queensland,QLD,141.26,-15.33,149,4.1
2019-01-01,2019,NSW Region 14,New South Wales,NSW,152.12,-36.68,75,4.4
